date,sku,title,price,currency,status,url
2025-10-13,B0DWS1W4M2,Unknown,13.95,USD,ok,https://www.amazon.com/dp/B0DWS1W4M2
2025-10-13,B07HGR3S45,Unknown,13.95,USD,ok,https://www.amazon.com/dp/B07HGR3S45
2025-10-13,B07HGTSN7X,Unknown,19.95,USD,ok,https://www.amazon.com/dp/B07HGTSN7X
2025-10-13,B0DPRFCZ5T,Unknown,20.0,USD,ok,https://www.amazon.com/dp/B0DPRFCZ5T
2025-10-13,B0DT8MMVLD,Unknown,14.24,USD,ok,https://www.amazon.com/dp/B0DT8MMVLD
2025-10-13,B0877241LJ,Unknown,12.59,USD,ok,https://www.amazon.com/dp/B0877241LJ
2025-10-13,B07HGQ4Q6N,Unknown,12.95,USD,ok,https://www.amazon.com/dp/B07HGQ4Q6N
2025-10-13,B07HGRWG1S,Unknown,15.18,USD,ok,https://www.amazon.com/dp/B07HGRWG1S
2025-10-13,B0FLXQ826Q,Unknown,8.99,USD,ok,https://www.amazon.com/dp/B0FLXQ826Q
2025-10-13,B0DRWC6X9P,Unknown,38.0,USD,ok,https://www.amazon.com/dp/B0DRWC6X9P
2025-10-13,B0BLZMG529,Unknown,14.69,USD,ok,https://www.amazon.com/dp/B0BLZMG529
2025-10-13,B0DBGJJF73,Unknown,33.99,USD,ok,https://www.amazon.com/dp/B0DBGJJF73
2025-10-13,B081ZNMTNG,Unknown,19.0,USD,ok,https://www.amazon.com/dp/B081ZNMTNG
2025-10-13,B0DDCGQ5HR,Unknown,6.64,USD,ok,https://www.amazon.com/dp/B0DDCGQ5HR
2025-10-13,B0CJSKHCQP,Unknown,49.99,USD,ok,https://www.amazon.com/dp/B0CJSKHCQP
2025-10-13,B0DQ1SL62Y,Unknown,11.95,USD,ok,https://www.amazon.com/dp/B0DQ1SL62Y
2025-10-13,B0DPKGNFDX,Unknown,8.99,USD,ok,https://www.amazon.com/dp/B0DPKGNFDX
2025-10-13,B084GNMZ27,Unknown,13.99,USD,ok,https://www.amazon.com/dp/B084GNMZ27
2025-10-13,B08TQ8B1KH,Unknown,10.0,USD,ok,https://www.amazon.com/dp/B08TQ8B1KH
2025-10-13,B0D3T3L3ZC,Unknown,14.98,USD,ok,https://www.amazon.com/dp/B0D3T3L3ZC
2025-10-13,B08W2M6WMZ,Unknown,34.0,USD,ok,https://www.amazon.com/dp/B08W2M6WMZ
2025-10-13,B0DRW9NVFD,Unknown,17.68,USD,ok,https://www.amazon.com/dp/B0DRW9NVFD
2025-10-13,B0DHXLKVPW,Unknown,8.13,USD,ok,https://www.amazon.com/dp/B0DHXLKVPW
2025-10-13,B07ZK1GJQH,Unknown,11.41,USD,ok,https://www.amazon.com/dp/B07ZK1GJQH
2025-10-13,B07PN6YDLZ,Unknown,18.17,USD,ok,https://www.amazon.com/dp/B07PN6YDLZ
2025-10-13,B0BRGWP7K5,Unknown,17.95,USD,ok,https://www.amazon.com/dp/B0BRGWP7K5
2025-10-13,B0BM11V6BQ,Unknown,8.75,USD,ok,https://www.amazon.com/dp/B0BM11V6BQ
2025-10-13,B09N6D8GBC,Unknown,39.95,USD,ok,https://www.amazon.com/dp/B09N6D8GBC
2025-10-13,B0DRYD391C,Unknown,15.98,USD,ok,https://www.amazon.com/dp/B0DRYD391C
2025-10-13,B0BLZNCGBF,Unknown,13.8,USD,ok,https://www.amazon.com/dp/B0BLZNCGBF
2025-10-13,B0BXBBB4K1,Unknown,7.95,USD,ok,https://www.amazon.com/dp/B0BXBBB4K1
2025-10-13,B07VVRSXXR,Unknown,16.46,USD,ok,https://www.amazon.com/dp/B07VVRSXXR
2025-10-13,B0B238GRXT,Unknown,25.0,USD,ok,https://www.amazon.com/dp/B0B238GRXT
2025-10-13,B08RSNLK41,Unknown,21.99,USD,ok,https://www.amazon.com/dp/B08RSNLK41
2025-10-13,B0BV6T2VLN,Unknown,18.0,USD,ok,https://www.amazon.com/dp/B0BV6T2VLN
2025-10-13,B0BLZKS2HW,Unknown,7.99,USD,ok,https://www.amazon.com/dp/B0BLZKS2HW
2025-10-13,B0DRW8MTRB,Unknown,16.0,USD,ok,https://www.amazon.com/dp/B0DRW8MTRB
2025-10-13,B0CG5QBT3M,Unknown,12.99,USD,ok,https://www.amazon.com/dp/B0CG5QBT3M
2025-10-13,B0DQXNQYXQ,Unknown,23.69,USD,ok,https://www.amazon.com/dp/B0DQXNQYXQ
2025-10-13,B0FLBZ729X,Unknown,9.99,USD,ok,https://www.amazon.com/dp/B0FLBZ729X
2025-10-13,B0F4R8KN71,Unknown,12.99,USD,ok,https://www.amazon.com/dp/B0F4R8KN71
2025-10-13,B0BLZLJJY2,Unknown,11.62,USD,ok,https://www.amazon.com/dp/B0BLZLJJY2
2025-10-13,B081ZN4VBJ,Unknown,15.0,USD,ok,https://www.amazon.com/dp/B081ZN4VBJ
2025-10-13,B0CW6KD15C,Unknown,9.83,USD,ok,https://www.amazon.com/dp/B0CW6KD15C
2025-10-13,B0FLBK97GJ,Unknown,9.99,USD,ok,https://www.amazon.com/dp/B0FLBK97GJ
2025-10-13,B003WOEU9S,Unknown,6.74,USD,ok,https://www.amazon.com/dp/B003WOEU9S
2025-10-13,B08BYHP92X,Unknown,21.99,USD,ok,https://www.amazon.com/dp/B08BYHP92X
2025-10-13,B0DVBRSDWS,Unknown,12.48,USD,ok,https://www.amazon.com/dp/B0DVBRSDWS
